id,lat,lon
1000726,-28.7853,153.6033
1000727,-28.7863,153.6033
1000728,-28.7873,153.6031
1000729,-28.7883,153.603
1000730,-28.7893,153.603
1000731,-28.7903,153.6033
1000732,-28.7913,153.6034
1000733,-28.7922,153.6035
1000734,-28.7932,153.6037
1000735,-28.7942,153.6039
1000736,-28.7952,153.6039
1000737,-28.7962,153.6039
1000738,-28.7972,153.604
1000739,-28.7982,153.6041
1000740,-28.7992,153.6043
1000741,-28.8,153.6048
1000742,-28.8007,153.6056
1000743,-28.8015,153.6062
1000744,-28.8023,153.6068
1000745,-28.8032,153.6073
1000746,-28.8039,153.6079
1000747,-28.8043,153.6088
1000748,-28.8047,153.6097
1000749,-28.8053,153.6104
1000750,-28.8063,153.6102
1000751,-28.8073,153.6103
1000752,-28.8083,153.6105
1000753,-28.8093,153.6106
1000754,-28.8103,153.6107
1000755,-28.8113,153.6107
1000756,-28.8123,153.6107
1000757,-28.8133,153.6108
1000758,-28.8143,153.6108
1000759,-28.8153,153.6108
1000760,-28.8163,153.6106
1000761,-28.8172,153.6102
1000762,-28.8182,153.6099
1000763,-28.8192,153.6099
1000764,-28.8201,153.6102
1000765,-28.821,153.6107
1000766,-28.8219,153.611
1000767,-28.8229,153.6112
1000768,-28.8239,153.6113
1000769,-28.8249,153.6114
1000770,-28.8259,153.6117
1000771,-28.8268,153.6121
1000772,-28.8277,153.6124
1000773,-28.8287,153.6125
1000774,-28.8297,153.6125
1000775,-28.8307,153.6125
1000776,-28.8317,153.6122
1000777,-28.8325,153.6117
1000778,-28.8334,153.6113
1000779,-28.8344,153.6111
1000780,-28.8354,153.6111
1000781,-28.8364,153.6111
1000782,-28.8374,153.6111
1000783,-28.8384,153.611
1000784,-28.8394,153.611
1000785,-28.8404,153.6113
1000786,-28.8412,153.6118
1000787,-28.8421,153.6122
1000788,-28.8431,153.6121
1000789,-28.8441,153.6119
1000790,-28.845,153.6115
1000791,-28.846,153.6112
1000792,-28.847,153.6111
1000793,-28.848,153.611
1000794,-28.8489,153.6112
1000795,-28.8499,153.6114
1000796,-28.8506,153.6109
1000797,-28.8508,153.6099
